subjid         , age, aoa2, flankscore        , wcst_error
aa22jage34     ,  71, 17  , 145.144230769231  ,         12
ab25mabe31     ,  72,  6  , 469.580882352941  ,         15
ab78okbe82     ,  72,  7  , 54.5              ,         12
ag51nore51     ,  77, 25  , 199.73544973545   ,         10
aj26deda63     ,  67,  5  , 8.80000000000007  ,          8
al27mahe42     ,  75,  2  , -0.434782608695627,          9
al36magu3      ,  78,  6  , -68.6070853462157 ,         19
al58apbe4      ,  67, 22  , 44.1666666666666  ,         11
al73setr1      ,  69,  4  , 14.7090301003345  ,         22
al76sefo11     ,  70,  2  , 198.942307692308  ,         20
al92meaj13     ,  71,  3  , -38.4666666666666 ,         13
al98detr11     ,  70, 12  , -3.66873706004139 ,         19
an49mare2      ,  67, 11  , 52.7666666666667  ,          8
an66masj1      ,  83,  0  , 60.3561872909698  ,         14
an73dero28     ,  66, 12  , 75.7761674718196  ,          7
an88sefo33     ,  80,  6  , 68.9335664335665  ,          9
an89apbe93     ,  75, 10  , 93.1746031746031  ,         10
an91auaa61     ,  68,  2  , 47.0833333333334  ,          8
ar55jufr2      ,  77, 12  , 86.0310344827586  ,          8
ar8mael45      ,  66, 12  , 97.7954911433172  ,          7
ar92mage65     ,  74,  2  , 50.0156862745098  ,         21
ar93japi51     ,  68,  3  , 34.5513043478261  ,         12
at75felu3      ,  72, 12  , 5.14423076923072  ,          9
au78juje2      ,  67,  1  , 61.9896551724138  ,         16
ba22meoe95     ,  70,  7  , -4.68499999999995 ,         10
ba53apge29     ,  70,  6  , 28.8044871794872  ,         20
be78juin2      ,  68,  4  , -134.116228070175 ,         24
be95mahe65     ,  71,  6  , -37.4705882352941 ,         20
be97seul51     ,  75,  0  , 71.4516129032259  ,          8
bi80okge21     ,  71,  6  , 477.618181818182  ,         19
bo82lija67     ,  66,  6  , 397.141666666667  ,         12
ch33jape26     ,  68, 12  , 9.35347985347983  ,         15
co19sefr21     ,  69, 24  , -58.6             ,         16
da90noje74     ,  73,  6  , 161.935587761675  ,         14
de35apar1      ,  72, 10  , 299.08            ,         16
de6seja2       ,  70, 13  , 77.8019047619048  ,         15
di71sekl1      ,  69,  4  , 4.34523809523807  ,         19
di75sepy74     ,  69,  5  , 224.665454545455  ,         10
dj76seja34     ,  70,  2  , 101.343434343434  ,         20
do37dedi31     ,  77,  6  , -31.9673913043479 ,         16
do3mege36      ,  73,  7  , -62.6952380952381 ,         15
do55meja29     ,  72,  6  , 245.294117647059  ,         14
do98seja91     ,  69,  0  , 99.75             ,         13
eb3sest33      ,  72,  4  , 210.215217391304  ,         11
